"id","distributor","invoice","date","isbn","title","author","qty","rrp","disc","lineCost","lineRRP","publisher"
1,"Macmillan Distribution (MDL)",59763479,"22-Aug-24",9798765102367,"OL:Island OL","HannaJulian",1,9.99,50,5,9.99,"Bloomsbury Publishing Plc"
2,"Macmillan Distribution (MDL)",54560472,"08-Jan-24",9791027610006,"Ultimate Book of Animals","Anne-Sophie Baumann",1,17.99,45,9.89,17.99,"Chronicle Books LLC"
3,"Macmillan Distribution (MDL)",56474883,"01-Apr-24",9791027610006,"Ultimate Book of Animals","Anne-Sophie Baumann",1,17.99,45,9.89,17.99,"Chronicle Books LLC"
4,"Macmillan Distribution (MDL)",57479463,"13-May-24",9791027610006,"Ultimate Book of Animals","Anne-Sophie Baumann",1,17.99,45,9.89,17.99,"Chronicle Books LLC"
5,"Macmillan Distribution (MDL)",55713930,"28-Feb-24",9783967047660,"Epic Journeys","G.C. Sam",1,14.95,45,8.22,14.95,"Die Gestalten Verlag"
6,"Macmillan Distribution (MDL)",55392905,"15-Feb-24",9783967047370,"How To Be A Spy","Nesquens",1,18.95,45,10.42,18.95,"Die Gestalten Verlag"
7,"Macmillan Distribution (MDL)",62427336,"11-Dec-24",9783967047370,"How To Be A Spy","Nesquens",1,18.95,45,10.42,18.95,"Die Gestalten Verlag"
8,"Macmillan Distribution (MDL)",55461915,"20-Feb-24",9783967047288,"Famous Robberies","Romero",1,16.95,45,9.32,16.95,"Die Gestalten Verlag"
9,"Macmillan Distribution (MDL)",59602823,"18-Aug-24",9783967041606,"The Americans - Beautiful Machines","Rong Blake Z.",1,55,45,30.25,55,"Die Gestalten Verlag"
10,"Macmillan Distribution (MDL)",58558901,"27-Jun-24",9783967041538,"Cooking Greens on Fire","Helbaek Tram Eva",1,35,45,19.25,35,"Die Gestalten Verlag"
11,"Macmillan Distribution (MDL)",59020506,"22-Jul-24",9783967041446,"Voyages","Sidetracked",1,40,45,22,40,"undefined"
12,"Macmillan Distribution (MDL)",59020506,"22-Jul-24",9783967041446,"Voyages","Sidetracked",1,40,45,22,40,"undefined"
13,"Macmillan Distribution (MDL)",55554115,"25-Feb-24",9783967041408,"The House of Green","gestalten",1,40,45,22,40,"Die Gestalten Verlag"
14,"Macmillan Distribution (MDL)",55392905,"15-Feb-24",9783967041392,"Parklife Hideaways","Parks Project",1,45,45,24.75,45,"Die Gestalten Verlag"
15,"Macmillan Distribution (MDL)",54995770,"29-Jan-24",9783967041279,"Riding In The Wild","Gibbons",1,40,45,22,40,"Die Gestalten Verlag"
16,"Macmillan Distribution (MDL)",55413082,"18-Feb-24",9783967041279,"Riding In The Wild","Gibbons",1,40,45,22,40,"Die Gestalten Verlag"
17,"Macmillan Distribution (MDL)",62023049,"25-Nov-24",9783967041279,"Riding In The Wild","Gibbons",1,40,45,22,40,"Die Gestalten Verlag"
18,"Macmillan Distribution (MDL)",62483732,"15-Dec-24",9783967041279,"Riding In The Wild","Gibbons",1,40,45,22,40,"Die Gestalten Verlag"
19,"Macmillan Distribution (MDL)",54753564,"17-Jan-24",9783967041262,"The Oceans","Chris Burkard",1,55,45,30.25,55,"Die Gestalten Verlag"
20,"Macmillan Distribution (MDL)",59371503,"04-Aug-24",9783967041262,"The Oceans","Chris Burkard",1,55,45,30.25,55,"Die Gestalten Verlag"
